Id,SalePrice,,s,SalePrice_stack,,+us,SalePrice_stack,,+ss,SalePrice_stack,,#VALUE!,,,SalePrice_xg,SalePrice_lgbm,,#VALUE!,#VALUE!,#VALUE!,,Best,Bad,SalePrice_stack,New SalePrice
1461,119920.6368,,0.109472028,119237.9638,,0.108736354,119722.0047,,0.108726664,119767.3466,,119575.7717,,,123340.4219,119743.7281,,119929.1971,119976.8146,119944.8194,,119920.6368,122408.4688,118852.1936,119659.1592
1462,157998.1233,,,158034.3115,,,158323.4426,,,159000.7851,,158452.8464,,,162396.5625,153554.561,,158016.6865,158274.7393,158898.2628,,157998.1233,162501.4531,162179.8249,160918.5459
1463,186820.717,,,186586.9391,,,186626.5091,,,186382.5536,,186532.0006,,,188339.2813,186400.2601,,186821.7886,186730.5657,186481.2753,,186820.717,187107.3906,187765.2379,187646.5982
1464,197862.3705,,,198191.3794,,,198654.4317,,,198451.8739,,198432.5617,,,195594.5938,198610.3959,,197864.714,198437.1605,198316.936,,197862.3705,196823.5938,198958.1226,198401.4346
1465,192821.6434,,,193139.275,,,194022.5636,,,194100.1761,,193754.0049,,,191263.25,192905.2899,,192822.7735,193751.2025,193898.5855,,192821.6434,194102.8125,192038.8904,192052.505
1466,172477.198,,,171906.3109,,,171988.1254,,,171762.2017,,171885.546,,,171213.5156,176459.2523,,172485.3328,172246.8816,171969.6199,,172477.198,173020.0781,171493.0718,172196.0674
1467,174162.4875,,,175478.5824,,,176174.907,,,176335.2838,,175996.2577,,,170447.3125,171815.0772,,174174.3661,175468.7873,175814.8749,,174162.4875,178127.6719,179030.9016,176660.9904
1468,164851.0874,,,163089.3123,,,162843.6664,,,162799.2847,,162910.7545,,,169131.6875,168940.8424,,164873.3981,163710.6302,163422.9828,,164851.0874,163551.8438,163017.1937,164822.9158
1469,184095.1568,,,186267.749,,,185217.3671,,,185187.2013,,185557.4391,,,184971.0781,173461.3236,,184152.2845,184377.2038,184590.1013,,184095.1568,182757.5313,185347.5329,183508.1337
1470,122196.3893,,,120781.313,,,121575.1829,,,121572.0583,,121309.518,,,124745.1875,126386.2427,,122216.6336,122133.8574,121971.424,,122196.3893,122672,121049.1627,122404.1296
1471,197230.7805,,,194990.642,,,195128.1691,,,195189.013,,195102.608,,,202623.8281,202492.8192,,197260.9465,196168.3907,195925.9441,,197230.7805,199590.7031,194102.6185,196639.332
1472,94928.83052,,,94501.08508,,,94632.9397,,,94530.44267,,94554.82248,,,95731.54688,96137.7318,,94931.15136,94815.17765,94670.86234,,94928.83052,94583.92969,95112.29387,95358.9979
1473,94565.18496,,,94088.39493,,,94148.78905,,,94025.35903,,94087.51434,,,97899.67969,93524.47599,,94575.4998,94367.64948,94194.03091,,94565.18496,94711.5625,94696.57249,95001.22429
1474,147405.7388,,,144293.021,,,144394.2139,,,144346.3595,,144344.5315,,,157612.5156,152297.8016,,147491.6623,145872.7462,145407.2394,,147405.7388,147838,144163.2476,147400.8225
1475,111827.9665,,,109002.272,,,109006.7226,,,108981.608,,108996.8675,,,119369.8203,118052.6097,,111914.9549,110365.3515,109954.5687,,111827.9665,110702.6016,109762.6916,112447.2502
1476,382762.4762,,,380904.6748,,,381751.2971,,,381841.4054,,381499.1258,,,383720.6563,390574.8261,,382777.5947,382506.7993,382372.0389,,382762.4762,378258.625,383578.1899,384649.0584
1477,250002.4073,,,249563.9575,,,250369.2981,,,249914.8627,,249949.3727,,,253524.125,248557.149,,250006.9613,250463.2855,250027.4401,,250002.4073,247341.5469,248234.3236,249076.2199
1478,284848.2111,,,284835.9702,,,285775.947,,,285517.6261,,285376.5144,,,279014.1875,290862.4083,,284866.6685,285658.6761,285459.6933,,284848.2111,292474.6875,285653.2015,285438.7312
1479,287686.5682,,,288491.5923,,,289518.42,,,289302.439,,289104.1504,,,285267.1563,286367.5835,,287689.3255,289000.273,288953.9321,,287686.5682,298332.5625,287965.9313,287321.3636
1480,499544.6393,,,494822.4712,,,495439.5179,,,495528.6542,,495263.5478,,,505254.8125,516282.3607,,499606.3058,497585.5875,497052.6475,,499544.6393,516031.4688,499867.1814,503137.6076
1481,320561.0429,,,316988.7085,,,315402.5756,,,315591.2562,,315994.1801,,,333345.5938,324817.1369,,320616.5056,317317.6061,316940.2672,,320561.0429,318570.2188,315416.2259,319515.7685
1482,206069.9714,,,207625.1749,,,208404.2219,,,208004.0041,,208011.1336,,,207712.4219,197391.545,,206103.2174,207584.9085,207458.802,,206069.9714,205502.0781,208183.7854,206494.2467
1483,177934.2262,,,180673.2443,,,181443.1546,,,181163.5029,,181093.3006,,,167252.4375,176273.0886,,178000.0999,180087.8998,180223.4289,,177934.2262,179066.5,182313.5574,179148.3206
1484,163958.5687,,,163158.5488,,,162549.2985,,,162421.3491,,162709.7321,,,165254.7031,166428.4378,,163963.4553,163010.2166,162763.3712,,163958.5687,165889.4688,163906.5386,164487.0497
1485,183012.3681,,,186058.7477,,,185913.9218,,,186005.4702,,185992.7132,,,175578.7344,176616.0719,,183070.3444,184539.6092,185014.6635,,183012.3681,183973.75,187563.9865,184124.0119
1486,196298.2273,,,196509.456,,,197005.8374,,,196736.3832,,196750.5589,,,195955.5,195657.0388,,196298.5001,196837.8979,196643.3718,,196298.2273,196504.75,197685.3327,197121.6149
1487,336418.8399,,,336565.8093,,,337572.7271,,,337972.9984,,337370.5116,,,332809.4063,339374.8859,,336423.7104,337365.4458,337784.9131,,336418.8399,334511.4688,335715.819,335828.7202
1488,230441.977,,,231039.8667,,,231827.8848,,,231360.9463,,231409.5659,,,231641.1875,226493.416,,230448.0972,231441.4032,231131.5819,,230441.977,230570.9219,231242.2742,230589.784
1489,199015.3427,,,199354.9017,,,200029.5952,,,199646.4964,,199676.9978,,,191796.7969,204869.0734,,199048.3117,199792.0628,199515.1403,,199015.3427,198406.0938,198071.9708,198150.2621
1490,235948.3585,,,239761.1426,,,240809.7786,,,240809.9502,,240460.2905,,,216159.0469,238985.5453,,236104.4886,238956.5311,239486.1848,,235948.3585,237807.7188,240772.506,236812.4434
1491,193474.7821,,,195018.7045,,,193046.6293,,,192915.3754,,193660.2364,,,185864.25,194063.5328,,193502.2605,192615.046,192620.227,,193474.7821,194544.625,194243.9951,192959.9652
1492,92346.24866,,,92704.24047,,,93328.25399,,,93250.39221,,93094.29556,,,90887.16406,92149.73145,,92348.50266,93074.88112,93077.19777,,92346.24866,96805.99219,92252.15583,92032.04399
1493,180961.406,,,179968.7429,,,180622.6086,,,180941.5454,,180510.9656,,,185397.9375,181223.6047,,180971.3514,180998.9513,181178.468,,180961.406,175261.375,178217.309,179745.3484
1494,293586.0015,,,293332.4929,,,294464.8329,,,294620.4259,,294139.2506,,,294748.9375,293608.8349,,293586.4109,294424.8003,294576.272,,293586.0015,300809.25,292344.8828,292895.0869
1495,284242.2543,,,285606.2892,,,286779.0459,,,286242.3972,,286209.2441,,,285121.375,277105.1805,,284258.3857,285985.8383,285729.4852,,284242.2543,289509.75,286757.7576,285064.4144
1496,241426.992,,,241675.3184,,,242424.5227,,,242353.6276,,242151.1563,,,237175.5781,244578.3717,,241435.8154,242207.866,242205.9624,,241426.992,243693.4063,240938.0706,240919.745
1497,181729.4088,,,180862.572,,,180935.1943,,,180948.5971,,180915.4544,,,179063.7656,188596.2368,,181752.8007,181340.4673,181236.7375,,181729.4088,184593.7969,179940.1665,181107.1185
1498,163633.8312,,,163809.4072,,,164074.9169,,,164099.1251,,163994.4831,,,162840.8906,163609.7336,,163634.1787,163955.9723,164011.7438,,163633.8312,166346.5156,164396.2314,164044.9568
1499,159309.9962,,,158786.059,,,158917.9082,,,159106.4869,,158936.818,,,158344.2813,162764.5445,,159316.5651,159147.0188,159251.2795,,159309.9962,161680.1563,159193.2732,159601.6155
1500,154508.9049,,,154928.5413,,,155031.1013,,,154926.8103,,154962.1509,,,148990.7031,158216.0864,,154530.9973,154831.2223,154794.4688,,154508.9049,158220.9531,155745.2111,155102.6662
1501,175121.6197,,,176236.5767,,,176317.46,,,176241.8392,,176265.292,,,170601,174515.9683,,175133.1489,175791.2034,175873.5037,,175121.6197,178812.9063,177121.7786,175752.7906
1502,144612.7794,,,144307.4247,,,144361.9313,,,144294.1209,,144321.1589,,,145733.2031,144923.4095,,144613.6891,144497.2238,144397.5394,,144612.7794,146839.5156,144390.6602,144671.954
1503,287670.0864,,,286916.7902,,,287850.0725,,,288400.7524,,287722.5384,,,306262.5313,273532.8746,,287811.064,288136.7407,288550.4474,,287670.0864,289624.375,293736.1085,292584.59
1504,239469.7277,,,239987.2462,,,240834.0305,,,240675.3443,,240498.8737,,,243344.8281,233294.0107,,239486.8982,240481.985,240439.7518,,239469.7277,238722.9844,239732.2669,239308.415
1505,225419.6997,,,225524.254,,,226386.7265,,,225889.4973,,225933.4926,,,221622.2031,228786.5632,,225428.2928,226221.1984,225820.9859,,225419.6997,226950.5625,227306.5119,226675.8748
1506,187630.8133,,,187291.2196,,,182288.1889,,,182226.6836,,183935.364,,,191305.5781,185588.8509,,187638.0181,183150.4525,182848.7366,,187630.8133,185400.0625,185796.1469,186591.4683
1507,252527.8508,,,254348.3275,,,255217.9112,,,255245.2681,,254937.169,,,244670.5313,252045.2572,,252551.1975,254257.5089,254556.5307,,252527.8508,257208.2969,254653.4259,252764.7687
